0;50;898
1;91;942
2;97;13
3;33;581
4;99;621
5;45;131
6;51;405
7;69;866
8;39;788
9;80;225
10;72;348
11;38;757
12;6;714
13;79;159
14;2;904
15;23;223
16;68;36
17;88;243
18;15;696
19;75;837
20;73;98
21;7;985
22;10;351
23;10;744
24;32;106
25;4;731
26;13;479
27;64;475
28;22;323
29;26;634
30;26;937
31;93;264
32;44;731
33;34;117
34;21;268
35;5;885
36;88;534
37;8;852
38;7;155
39;15;319
40;92;909
41;31;521
42;2;430
43;25;344
44;61;801
45;83;197
46;48;308
47;53;953
48;9;733
49;99;593
50;91;121
51;51;516
52;58;761
53;1;355
54;53;579
55;82;948
56;82;330
57;89;14
58;55;179
59;30;76
60;78;543
61;67;333
62;47;655
63;11;989
64;75;84
65;21;846
66;59;925
67;92;675
68;38;59
69;35;501
70;59;806
71;50;462
72;36;503
73;36;25
74;58;924
75;43;271
76;62;688
77;61;2
78;50;284
79;93;214
80;33;385
81;93;543
82;44;102
83;78;371
84;64;115
85;55;823
86;49;430
87;39;333
88;58;923
89;45;851
90;4;352
91;14;502
92;97;381
93;74;843
94;48;191
95;12;129
96;86;96
97;37;33
98;73;878
99;51;867
